uc001aaj.1	Y48E1B.1	31.94	72	49	0	15	86	2	73	0.002	37.7
uc001aal.1	F02E8.2b	26.09	161	113	4	20	174	77	237	2e-04	42.7
uc001aaw.1	F02E8.2b	22.80	193	136	6	39	225	90	275	4e-06	48.5
uc003aab.1	C02D4.2f	37.67	146	84	3	3	145	47	188	2e-13	73.2
uc003aab.1	C02D4.2f	32.76	116	61	4	206	311	304	412	1e-10	63.9
uc003aac.1	C09B7.1a	31.13	151	93	3	60	202	283	430	4e-11	65.1
uc003aae.1	F13H8.7	69.28	293	90	0	24	316	94	386	4e-126	 447
uc003aaf.1	F13H8.7	62.14	383	145	0	2	384	4	386	2e-144	 508
uc003aag.1	F13H8.7	62.14	383	145	0	2	384	4	386	2e-144	 508
uc003aam.1	Y116A8C.42	68.37	98	30	1	2	98	3	100	6e-34	 138
uc003aan.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aas.1	C53D5.5	41.80	445	241	11	38	469	101	540	2e-90	 329
uc003aat.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aau.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aav.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aaw.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aax.1	C53D5.5	41.68	547	299	12	38	569	101	642	1e-104	 377
uc003aay.1	C53D5.5	47.81	228	115	3	1	225	416	642	6e-45	 176
