0	Fetal brain	Fetal brain	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Fetal brain,
1	Fetal brain 2	Fetal brain 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Fetal brain,
2	Cerebellum	Cerebellum	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Cerebellum,
3	Cerebellum 2	Cerebellum 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Cerebellum,
4	Whole Brain	Whole Brain	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Whole Brain,
5	Whole Brain 2	Whole Brain 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Whole Brain,
6	Cortex	Cortex	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Cortex,
7	Caudate nucleus	Caudate nucleus	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Caudate nucleus,
8	Caudate nucleus 2	Caudate nucleus 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Caudate nucleus,
9	Amygdala	Amygdala	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Amygdala,
10	Amygdala 2	Amygdala 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Amygdala,
11	Thalamus	Thalamus	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Thalamus,
12	Thalamus 2	Thalamus 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Thalamus,
13	Corpus callosum	Corpus callosum	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Corpus callosum,
14	Corpus callosum 2	Corpus callosum 2	http://www.affymetrix.com/analysis/index.affx	http://expression.gnf.org	http://www.gnf.org	3	HG-U95Av2,n/a,Corpus callosum,
