-35	0
-34	0
-32	0
-31	0
-30	0
-29	0
-28	0
-27	0
-26	0
-25	0
-24	0
-23	0
-22	0
-21	0
-20	0
-19	0
-18	0
-17	0
-16	0
-15	0
-14	0
-13	0
-12	0
-11	0
-10	0
-9	0
-8	0
-7	0
-6	0
-5	0
-4	0
-3	0
-2	0
-1	0
0	0
1	0
2	1
3	1
4	1
5	1
6	1
7	1
8	2
9	2
10	2
11	2
12	3
13	3
14	4
15	4
16	5
17	5
18	6
19	7
20	8
21	9
22	10
23	11
24	12
25	13
26	14
27	16
28	17
29	18
30	20
31	22
32	23
33	25
34	27
35	29
36	31
37	33
38	35
39	37
40	39
41	41
42	44
43	46
44	48
45	50
46	52
47	54
48	57
49	59
50	61
51	63
52	65
53	67
54	69
55	71
56	72
57	74
58	76
59	77
60	79
61	80
62	82
63	83
64	84
65	86
66	87
67	88
68	89
69	90
70	91
71	91
72	92
73	93
74	94
75	94
76	95
77	95
78	96
79	96
80	97
81	97
82	97
83	98
84	98
85	98
86	98
87	98
88	99
89	99
90	99
91	99
92	99
93	99
94	99
95	99
96	100
97	100
98	100
99	100
100	100
101	100
102	100
103	100
104	100
105	100
106	100
107	100
108	100
109	100
110	100
111	100
112	100
113	100
114	100
115	100
116	100
117	100
118	100
119	100
120	100
121	100
122	100
123	100
124	100
125	100
126	100
127	100
128	100
129	100
130	100
131	100
132	100
133	100
134	100
135	100
136	100
137	100
138	100
139	100
140	100
