chr22.974.1.NM_003634	255	1110	panTro2	852	855	0.996491
chr22.974.1.NM_003634	255	1110	rheMac2	585	855	0.684211
chr22.974.1.NM_003634	255	1110	mm8	852	855	0.996491
chr22.974.1.NM_003634	255	1110	canFam2	846	855	0.989474
chr22.976.2.AK022886	1119	2444	panTro2	624	1325	0.470943
chr22.976.2.AK022886	1119	2444	rheMac2	612	1325	0.461887
chr22.976.2.AK022886	1119	2444	mm8	618	1325	0.466415
chr22.976.2.AK022886	1119	2444	canFam2	612	1325	0.461887
chr22.99.1.NM_002882	149	752	panTro2	603	603	1.000000
chr22.99.1.NM_002882	149	752	rheMac2	603	603	1.000000
chr22.99.1.NM_002882	149	752	mm8	603	603	1.000000
chr22.99.1.NM_002882	149	752	canFam2	603	603	1.000000
chr22.770.1.AL117485	2259	2568	panTro2	279	309	0.902913
chr22.770.1.AL117485	2259	2568	rheMac2	252	309	0.815534
chr22.770.1.AL117485	2259	2568	mm8	264	309	0.854369
chr22.770.1.AL117485	2259	2568	canFam2	297	309	0.961165
fakeMissing	3	99	panTro2	81	96	0.843750
fakeMissing	3	99	rheMac2	96	96	1.000000
fakeMissing	3	99	mm8	60	96	0.625000
fakeMissing	3	99	canFam2	57	96	0.593750
chr1.102.3.AB007919	0	2943	panTro2	1596	2943	0.542304
chr1.102.3.AB007919	0	2943	rheMac2	2910	2943	0.988787
chr1.102.3.AB007919	0	2943	mm8	2943	2943	1.000000
chr1.102.3.AB007919	0	2943	canFam2	2910	2943	0.988787
