wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	0.627574
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	0.593738
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	0.524667
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	0.47887
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	0.560771
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.537182
wgEncodeBroadChipSeqSignalGm12878H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.620722
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	0.744131
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	0.556651
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	0.461094
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	0.607597
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.330902
wgEncodeBroadChipSeqSignalH1hescH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.659481
wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	0.645783
wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	0.565259
wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	0.583516
wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.604387
wgEncodeBroadChipSeqSignalHmecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.678184
wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	0.545606
wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	0.483423
wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.512908
wgEncodeBroadChipSeqSignalHsmmH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.810033
wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	0.457926
wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.520834
wgEncodeBroadChipSeqSignalHuvecH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.528835
wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	0.36099
wgEncodeBroadChipSeqSignalK562H3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.533388
wgEncodeBroadChipSeqSignalNhekH3k4me1.wig.gz	wgEncodeBroadChipSeqSignalNhlfH3k4me1.wig.gz	0.496681
