GM12878	F	human
K562	F	human
K562b	F	human
HepG2	M	human
HepG2b	M	human
HeLa-S3	F	human
HUVEC	U	human
H1-hESC	M	human
H1-neurons	M	human
LHCN-M2	M	human
8988T	F	human
A549	M	human
AG04449	M	human
AG04450	M	human
AG09309	F	human
AG09319	F	human
AG10803	M	human
Adult_CD4_naive	B	human
Adult_CD4_Th0	B	human
Adult_CD4_Th1	B	human
AoAF	F	human
AoSMC	U	human
Astrocy	U	human
BC_Adipose_UHN00001	F	human
BC_Adrenal_Gland_H12803N	F	human
BC_Bladder_01-11002	F	human
BC_Brain_H11058N	M	human
BC_Breast_02-03015	F	human
Colon_BC	B	human
BC_Colon_01-11002	F	human
BC_Colon_H12817N	M	human
Esophagus_BC	B	human
BC_Esophagus_01-11002	F	human
BC_Esophagus_H12817N	M	human
BC_Jejunum_H12817N	M	human
Kidney_BC	B	human
BC_Kidney_01-11002	F	human
BC_Kidney_H12817N	M	human
BC_Left_Ventricle_N41	M	human
BC_Leukocyte_UHN00204	M	human
BC_Liver_01-11002	F	human
Lung_BC	B	human
BC_Lung_01-11002	F	human
BC_Lung_H12817N	M	human
BC_Pancreas_H12817N	M	human
BC_Penis_H12817N	M	human
BC_Pericardium_H12529N	F	human
BC_Placenta_UHN00189	F	human
BC_Prostate_Gland_H12817N	M	human
BC_Rectum_N29	M	human
Skeletal_Muscle_BC	B	human
BC_Skeletal_Muscle_01-11002	F	human
BC_Skeletal_Muscle_H12817N	M	human
BC_Skin_01-11002	F	human
BC_Small_Intestine_01-11002	F	human
BC_Spleen_H12817N	M	human
Stomach_BC	B	human
BC_Stomach_01-11002	F	human
BC_Stomach_H12817N	M	human
BC_Testis_N30	M	human
BC_Uterus_BN0765	F	human
BE2_C	M	human
BG02ES	M	human
BG02ES-EBD	M	human
BJ	M	human
Breast_OC	F	human
CD14+	F	human
CD20+	F	human
CD20+_RO01778	F	human
CD20+_RO01794	F	human
CD34+_Mobilized	M	human
CD4+_Naive_Wb11970640	M	human
CD4+_Naive_Wb78495824	F	human
GC_B_cell	U	human
CLL	F	human
Caco-2	M	human
